frame,leading,right_leading,left_leading,following,right_following,left_following
0.0,34.0,,31.0,,,
0.03,34.0,,31.0,,,
0.07,34.0,,31.0,,,
0.1,34.0,,31.0,,,
0.13,34.0,,31.0,,,
0.17,34.0,,31.0,,,
0.2,34.0,,31.0,,,
0.23,34.0,,31.0,,,
0.27,34.0,,31.0,,,
0.3,34.0,,31.0,,,
0.33,34.0,,31.0,,,
0.37,34.0,,31.0,,,
0.4,34.0,,31.0,,,
0.43,34.0,,31.0,,,
0.47,34.0,,31.0,,,
0.5,34.0,,31.0,,,
0.53,34.0,,31.0,,,
0.57,34.0,,44.0,,,
0.6,34.0,,44.0,,,
0.63,34.0,,44.0,,,
0.67,34.0,,44.0,,,
0.7,34.0,,44.0,,,
0.73,34.0,,44.0,,,
0.77,34.0,,44.0,,,
0.8,34.0,,44.0,,,
0.83,34.0,,44.0,,,
0.87,34.0,,44.0,,,
0.9,34.0,,44.0,,,
0.93,34.0,,44.0,,,
0.97,34.0,,44.0,,,
1.0,34.0,,44.0,,,
1.03,34.0,,44.0,,,
1.07,34.0,,44.0,,,
1.1,34.0,,44.0,,,
1.13,34.0,,44.0,,,
1.17,34.0,,44.0,,,
1.2,34.0,,44.0,,,
1.23,34.0,,44.0,,,
1.27,34.0,,44.0,,,
1.3,34.0,,44.0,,,
1.33,34.0,,44.0,,,
1.37,34.0,,44.0,,,
1.4,34.0,,44.0,,,
1.43,34.0,,44.0,,,
1.47,34.0,,44.0,,,
1.5,34.0,,44.0,,,
1.53,34.0,,44.0,,,
1.57,34.0,,44.0,,,
1.6,34.0,,44.0,,,
1.63,34.0,,44.0,,,
1.67,34.0,,44.0,,,
1.7,34.0,,44.0,,,
1.73,34.0,,44.0,,,
1.77,34.0,,44.0,,,
1.8,34.0,,44.0,,,
1.83,34.0,,44.0,,,
1.87,34.0,,44.0,,,
1.9,34.0,,44.0,,,
1.93,34.0,,44.0,,,
1.97,34.0,,44.0,,,
2.0,34.0,,44.0,,,
2.03,34.0,,44.0,,,
2.07,34.0,,44.0,,,
2.1,34.0,,44.0,,,
2.13,34.0,,44.0,,,
2.17,34.0,,44.0,,,
2.2,34.0,,44.0,,,
2.23,34.0,,44.0,,,
2.27,34.0,,44.0,,,
2.3,34.0,,44.0,,,
2.33,34.0,,44.0,,,
2.37,34.0,,44.0,,,
2.4,34.0,,44.0,,,
2.43,34.0,,44.0,,,
2.47,34.0,,44.0,,,
2.5,34.0,,44.0,,,
2.53,34.0,,44.0,,,
2.57,34.0,,44.0,,,
2.6,34.0,,44.0,,,
2.63,34.0,,44.0,,,
2.67,34.0,,44.0,,,
2.7,34.0,,44.0,,,
2.73,34.0,,44.0,,,
2.77,34.0,,44.0,,,
2.8,34.0,,44.0,,,
2.83,34.0,,44.0,,,
2.87,34.0,,44.0,,,
2.9,34.0,,44.0,,,
2.93,34.0,,44.0,,,
2.97,34.0,,44.0,,,
3.0,34.0,,44.0,,,
3.03,34.0,,44.0,,,
3.07,34.0,,44.0,,,
3.1,34.0,,44.0,,,
3.13,34.0,,44.0,5.0,,
3.17,34.0,,44.0,5.0,,
3.2,34.0,,44.0,5.0,,
3.23,34.0,,44.0,5.0,,
3.27,34.0,,44.0,5.0,,
3.3,34.0,,44.0,5.0,,
3.33,34.0,,44.0,5.0,,
3.37,34.0,,44.0,5.0,,
3.4,34.0,,44.0,5.0,,
3.43,34.0,,44.0,5.0,,
3.47,34.0,,44.0,5.0,,
3.5,34.0,,44.0,5.0,,
3.53,34.0,,44.0,5.0,,
3.57,34.0,,44.0,5.0,,
3.6,34.0,,44.0,5.0,,
3.63,34.0,,44.0,5.0,,
3.67,34.0,,44.0,5.0,,
3.7,34.0,,44.0,5.0,,
3.73,34.0,,44.0,5.0,,
3.77,34.0,,44.0,5.0,,
3.8,34.0,,44.0,5.0,,
3.83,34.0,,44.0,5.0,,
3.87,34.0,,44.0,5.0,,
3.9,34.0,,44.0,5.0,,
3.93,34.0,,44.0,5.0,,
3.97,34.0,,44.0,5.0,,
4.0,34.0,,44.0,5.0,,
4.03,34.0,,44.0,5.0,,
4.07,34.0,,44.0,5.0,,
4.1,34.0,,44.0,5.0,,
4.13,34.0,,44.0,5.0,,
4.17,34.0,,44.0,5.0,,
4.2,34.0,,44.0,5.0,,
4.23,34.0,,44.0,5.0,,
4.27,34.0,,44.0,5.0,,
4.3,34.0,,44.0,5.0,,
4.33,34.0,,44.0,5.0,,
4.37,34.0,,44.0,5.0,,
4.4,34.0,,44.0,5.0,,
4.43,34.0,,44.0,5.0,,
4.47,34.0,,44.0,5.0,,
4.5,34.0,,44.0,5.0,,
4.53,34.0,,44.0,5.0,,
4.57,34.0,,44.0,5.0,,
4.6,34.0,,44.0,5.0,,
4.63,34.0,,44.0,5.0,,
4.67,34.0,,44.0,5.0,,
4.7,34.0,,44.0,5.0,,
4.73,34.0,,44.0,5.0,,
4.77,34.0,,44.0,5.0,,
4.8,34.0,,44.0,5.0,,
4.83,34.0,,44.0,5.0,,
4.87,34.0,,44.0,5.0,,
4.9,34.0,,44.0,5.0,,
4.93,34.0,,44.0,5.0,,
4.97,34.0,,44.0,5.0,,
5.0,34.0,,44.0,5.0,,
5.03,34.0,,44.0,5.0,,
5.07,34.0,,44.0,5.0,,
5.1,34.0,,44.0,5.0,,
5.13,34.0,,44.0,5.0,,
5.17,34.0,,44.0,5.0,,
5.2,34.0,,44.0,5.0,,
5.23,34.0,,44.0,5.0,,
5.27,34.0,,44.0,5.0,,
5.3,34.0,,44.0,5.0,,
5.33,34.0,,44.0,5.0,,
5.37,34.0,,44.0,5.0,,
5.4,34.0,,44.0,5.0,,
5.43,34.0,,44.0,5.0,,
5.47,34.0,,44.0,5.0,,
5.5,34.0,,44.0,5.0,,
5.53,34.0,,44.0,5.0,,
5.57,34.0,,44.0,5.0,,
5.6,34.0,,44.0,5.0,,
5.63,34.0,,44.0,5.0,,
5.67,34.0,,44.0,5.0,,
5.7,34.0,,44.0,5.0,,
5.73,34.0,,44.0,5.0,,
5.77,34.0,,44.0,5.0,,
5.8,34.0,,44.0,5.0,,
5.83,34.0,,44.0,5.0,,
5.87,34.0,,44.0,5.0,,
5.9,34.0,,44.0,5.0,,
5.93,34.0,,44.0,5.0,,
5.97,34.0,,44.0,5.0,,
6.0,34.0,,44.0,5.0,,
6.03,34.0,,44.0,,,
6.07,34.0,,44.0,,,
6.1,34.0,,44.0,5.0,,
6.13,34.0,,44.0,,,
6.17,34.0,,44.0,,,
6.2,34.0,,44.0,5.0,,
6.23,34.0,,44.0,5.0,,
6.27,34.0,,44.0,5.0,,
6.3,34.0,,44.0,5.0,,
6.33,34.0,,44.0,5.0,,
6.37,34.0,,44.0,5.0,,
6.4,34.0,,44.0,5.0,,
6.43,34.0,,44.0,5.0,,
6.47,34.0,,44.0,5.0,,
6.5,34.0,,44.0,5.0,,
6.53,34.0,,44.0,5.0,,
6.57,34.0,,44.0,5.0,,
6.6,34.0,,44.0,5.0,,
6.63,34.0,,44.0,5.0,,
6.67,34.0,,44.0,5.0,,
6.7,34.0,,44.0,5.0,,
6.73,,,44.0,5.0,,
6.77,,,44.0,5.0,,
6.8,34.0,,44.0,5.0,,
6.83,,,44.0,5.0,,
6.87,,,44.0,5.0,,
6.9,,,44.0,5.0,,
6.93,,,44.0,5.0,,
6.97,,,44.0,5.0,,
7.0,34.0,,44.0,5.0,,
7.03,34.0,,44.0,5.0,,
7.07,,,44.0,5.0,,
7.1,34.0,,44.0,5.0,,
7.13,34.0,,44.0,5.0,,
7.17,34.0,,44.0,5.0,,
7.2,,,44.0,5.0,,
7.23,,,44.0,5.0,,
7.27,,,44.0,5.0,,
7.3,,,44.0,5.0,,
7.33,,,44.0,5.0,,
7.37,,,44.0,5.0,,
7.4,,,31.0,5.0,,44.0
7.43,,,31.0,5.0,,44.0
7.47,,,31.0,5.0,,44.0
7.5,,,31.0,5.0,,44.0
7.53,,,31.0,5.0,,44.0
7.57,,,31.0,5.0,,44.0
7.6,,,31.0,5.0,,44.0
7.63,,,31.0,5.0,,44.0
7.67,,,31.0,5.0,,44.0
7.7,,,31.0,5.0,,44.0
7.73,,,,5.0,,44.0
7.77,,,,5.0,,44.0
7.8,,,,5.0,,44.0
7.83,,,,5.0,,44.0
7.87,,,,5.0,,44.0
7.9,,,,5.0,,44.0
7.93,,,,5.0,,44.0
7.97,,,,5.0,,44.0
8.0,,,,5.0,,44.0
8.03,,,,5.0,,44.0
8.07,,,,5.0,,44.0
8.1,,,,5.0,,44.0
8.13,,,,5.0,,44.0
8.17,,,,5.0,,44.0
8.2,,,,5.0,,44.0
8.23,,,,5.0,,44.0
8.27,,,,5.0,,44.0
8.3,,,,5.0,,44.0
8.33,,,,5.0,,44.0
8.37,,,,5.0,,44.0
8.4,,,,5.0,,44.0
8.43,,,,5.0,,44.0
8.47,,,,5.0,,44.0
8.5,,,,5.0,,44.0
8.53,,,,5.0,,44.0
8.57,,,,5.0,,44.0
8.6,,,,5.0,,44.0
8.63,,,,5.0,,44.0
8.67,,,,5.0,,44.0
8.7,,,,5.0,,44.0
8.73,,,,5.0,,44.0
8.77,,,,5.0,,44.0
8.8,,,,5.0,,44.0
8.83,,,,5.0,,44.0
8.87,,,,5.0,,44.0
8.9,,,,5.0,,44.0
8.93,,,,5.0,,44.0
8.97,,,,5.0,,44.0
9.0,,,,5.0,,44.0
9.03,,,,5.0,,44.0
9.07,,,,5.0,,44.0
9.1,,,,5.0,,44.0
9.13,,,,5.0,,44.0
9.17,,,,5.0,,44.0
9.2,,,,5.0,,44.0
9.23,,,,5.0,,44.0
9.27,,,,5.0,,44.0
9.3,,,,5.0,,44.0
9.33,,,,5.0,,44.0
9.37,,,,,,44.0
9.4,,,,,,44.0
9.43,,,,,,44.0
9.47,,,,,,44.0
9.5,,,,5.0,,44.0
9.53,,,,5.0,,44.0
9.57,,,,5.0,,44.0
9.6,,,,5.0,,44.0
9.63,,,,5.0,,44.0
9.67,,,,5.0,,44.0
9.7,,,,5.0,,44.0
9.73,,,,5.0,,44.0
9.77,,,,5.0,,44.0
