frame,leading,right_leading,left_leading,following,right_following,left_following
2.93,27.0,,43.0,,,
2.97,27.0,,43.0,3.0,,
3.0,27.0,,43.0,3.0,,
3.03,27.0,,43.0,3.0,,
3.07,27.0,,43.0,3.0,,
3.1,27.0,,43.0,3.0,,
3.13,27.0,,43.0,3.0,,
3.17,27.0,,43.0,3.0,,
3.2,27.0,,43.0,3.0,,
3.23,27.0,,43.0,3.0,,
3.27,27.0,,43.0,3.0,,
3.3,27.0,,43.0,3.0,,
3.33,27.0,,43.0,3.0,,
3.37,27.0,,43.0,3.0,,
3.4,27.0,,43.0,3.0,,
3.43,27.0,,43.0,3.0,,
3.47,27.0,,43.0,3.0,,
3.5,27.0,,43.0,3.0,,
3.53,27.0,,43.0,3.0,,
3.57,27.0,,43.0,3.0,,
3.6,27.0,,43.0,3.0,,
3.63,27.0,,43.0,3.0,,
3.67,27.0,,43.0,3.0,,
3.7,27.0,,43.0,3.0,,
3.73,27.0,,43.0,3.0,,
3.77,27.0,,43.0,3.0,,
3.8,27.0,,43.0,3.0,,
3.83,27.0,,43.0,3.0,,
3.87,27.0,,43.0,3.0,,
3.9,27.0,,43.0,3.0,,
3.93,27.0,,43.0,3.0,,
3.97,27.0,,43.0,3.0,,
4.0,27.0,,43.0,3.0,,
4.03,27.0,,43.0,3.0,,
4.07,27.0,,43.0,3.0,,
4.1,27.0,,43.0,3.0,,
4.13,27.0,,43.0,3.0,,
4.17,27.0,,43.0,3.0,,
4.2,27.0,,43.0,3.0,,
4.23,27.0,,43.0,3.0,,
4.27,27.0,,43.0,3.0,,
4.3,43.0,27.0,20.0,,3.0,
4.33,43.0,27.0,20.0,,3.0,
4.37,43.0,27.0,20.0,,3.0,
4.4,43.0,27.0,20.0,,3.0,
4.43,43.0,27.0,20.0,,3.0,
4.47,43.0,27.0,20.0,,3.0,
4.5,43.0,27.0,20.0,,3.0,
4.53,43.0,27.0,20.0,,3.0,
4.57,43.0,27.0,20.0,,3.0,
4.6,43.0,27.0,20.0,,3.0,
4.63,43.0,27.0,20.0,,3.0,
4.67,43.0,,20.0,,3.0,
4.7,43.0,,20.0,,3.0,
4.73,43.0,,20.0,,3.0,
4.77,43.0,,20.0,,3.0,
4.8,43.0,,20.0,,3.0,
4.83,43.0,,20.0,,3.0,
4.87,43.0,,20.0,,3.0,
4.9,43.0,,20.0,,3.0,
4.93,43.0,,20.0,,3.0,
4.97,43.0,,20.0,,3.0,
5.0,43.0,,20.0,,3.0,
5.03,43.0,,20.0,,3.0,
5.07,43.0,27.0,20.0,,3.0,
5.1,43.0,27.0,20.0,,3.0,
5.13,43.0,27.0,20.0,,3.0,
5.17,43.0,27.0,20.0,,3.0,
5.2,43.0,27.0,20.0,,3.0,
5.23,43.0,27.0,20.0,,3.0,
5.27,43.0,27.0,20.0,,3.0,
5.3,43.0,27.0,20.0,,3.0,
5.33,43.0,27.0,20.0,,3.0,
5.37,43.0,27.0,20.0,,3.0,
5.4,43.0,27.0,20.0,,3.0,
5.43,43.0,27.0,20.0,,3.0,
5.47,43.0,27.0,20.0,,3.0,
5.5,43.0,27.0,20.0,,3.0,
5.53,43.0,27.0,20.0,,3.0,
5.57,43.0,27.0,20.0,,3.0,
5.6,43.0,27.0,20.0,,3.0,
5.63,43.0,27.0,20.0,,3.0,
5.67,43.0,27.0,20.0,,3.0,
5.7,43.0,27.0,20.0,,3.0,
5.73,43.0,27.0,20.0,,3.0,
5.77,43.0,27.0,20.0,,3.0,
5.8,43.0,27.0,12.0,,3.0,
5.83,43.0,27.0,12.0,,3.0,
5.87,43.0,27.0,12.0,,3.0,
5.9,43.0,27.0,12.0,,3.0,
5.93,43.0,27.0,12.0,,3.0,
5.97,43.0,27.0,12.0,,3.0,
6.0,43.0,27.0,12.0,,3.0,
6.03,43.0,27.0,12.0,,3.0,
6.07,43.0,27.0,12.0,,3.0,
6.1,43.0,27.0,12.0,,3.0,
6.13,43.0,27.0,12.0,,3.0,
6.17,43.0,27.0,20.0,,3.0,
6.2,43.0,27.0,20.0,,3.0,
6.23,43.0,27.0,20.0,,3.0,
6.27,43.0,27.0,20.0,,3.0,
6.3,43.0,27.0,20.0,,3.0,
6.33,43.0,27.0,20.0,,3.0,
6.37,43.0,27.0,20.0,,3.0,
6.4,43.0,27.0,20.0,,3.0,
6.43,43.0,27.0,20.0,,3.0,
6.47,43.0,27.0,20.0,,3.0,
6.5,43.0,27.0,20.0,,3.0,
6.53,43.0,27.0,20.0,,3.0,
6.57,43.0,27.0,20.0,,3.0,
6.6,43.0,27.0,20.0,,3.0,
6.63,43.0,27.0,20.0,,3.0,
6.67,43.0,27.0,20.0,,3.0,
6.7,43.0,27.0,20.0,,3.0,
6.73,43.0,27.0,20.0,,3.0,
6.77,43.0,27.0,20.0,,3.0,
6.8,43.0,27.0,20.0,,3.0,
6.83,43.0,27.0,20.0,,3.0,
6.87,43.0,27.0,20.0,,3.0,
6.9,43.0,27.0,20.0,,3.0,
6.93,43.0,27.0,20.0,,3.0,
6.97,43.0,27.0,20.0,,3.0,
7.0,43.0,27.0,20.0,,3.0,
7.03,43.0,27.0,20.0,,3.0,
7.07,43.0,27.0,20.0,,3.0,
7.1,43.0,27.0,20.0,,3.0,
7.13,43.0,27.0,20.0,,3.0,
7.17,43.0,27.0,20.0,,3.0,
7.2,43.0,27.0,20.0,,3.0,
7.23,43.0,27.0,20.0,,3.0,
7.27,43.0,27.0,20.0,,3.0,
7.3,43.0,27.0,20.0,,,
7.33,43.0,27.0,20.0,,,
7.37,43.0,27.0,20.0,,,
7.4,43.0,27.0,20.0,,,
7.43,43.0,27.0,20.0,,,
7.47,43.0,27.0,20.0,,,
7.5,43.0,27.0,20.0,,,
7.53,43.0,27.0,20.0,,,
7.57,43.0,27.0,20.0,,,
7.6,43.0,27.0,20.0,,,
7.63,43.0,27.0,20.0,,,
7.67,43.0,27.0,20.0,,,
7.7,43.0,27.0,20.0,,,
7.73,,27.0,20.0,,,
7.77,,27.0,20.0,,,
7.8,,27.0,20.0,,,
7.83,,27.0,20.0,,,
7.87,,27.0,20.0,,,
7.9,,27.0,20.0,,,
7.93,,27.0,20.0,,,
7.97,,27.0,20.0,,,
8.0,43.0,27.0,20.0,,,
8.03,43.0,27.0,20.0,,,
8.07,43.0,27.0,20.0,,,
8.1,43.0,27.0,20.0,,,
8.13,43.0,27.0,20.0,,3.0,
8.17,43.0,27.0,20.0,,3.0,
8.2,43.0,27.0,20.0,,3.0,
8.23,43.0,27.0,20.0,,3.0,
8.27,43.0,27.0,20.0,,3.0,
8.3,43.0,27.0,20.0,,3.0,
8.33,43.0,27.0,20.0,,3.0,
8.37,43.0,27.0,20.0,,3.0,
8.4,43.0,27.0,20.0,,3.0,
8.43,43.0,27.0,20.0,,3.0,
8.47,43.0,27.0,,,3.0,
8.5,43.0,27.0,20.0,,3.0,
8.53,43.0,27.0,20.0,,3.0,
8.57,43.0,27.0,20.0,,3.0,
8.6,43.0,27.0,20.0,,3.0,
8.63,43.0,27.0,20.0,,3.0,
8.67,43.0,27.0,20.0,,3.0,
8.7,43.0,27.0,20.0,,3.0,
8.73,43.0,27.0,20.0,,3.0,
8.77,43.0,27.0,20.0,,3.0,
8.8,43.0,27.0,20.0,,3.0,
8.83,43.0,27.0,20.0,,3.0,
8.87,43.0,27.0,20.0,,3.0,
8.9,43.0,27.0,20.0,,3.0,
8.93,43.0,27.0,20.0,,3.0,
8.97,43.0,27.0,20.0,,3.0,
9.0,43.0,27.0,20.0,,3.0,
9.43,43.0,27.0,20.0,,3.0,
9.47,43.0,27.0,20.0,,3.0,
9.5,43.0,27.0,20.0,,3.0,
9.53,43.0,27.0,20.0,,3.0,
9.57,43.0,27.0,20.0,,3.0,
9.6,43.0,27.0,20.0,,3.0,
9.63,43.0,27.0,20.0,,3.0,
9.67,43.0,27.0,20.0,,3.0,
9.7,43.0,27.0,20.0,,3.0,
9.73,43.0,27.0,20.0,,3.0,
9.77,43.0,27.0,20.0,,3.0,
9.8,43.0,27.0,20.0,,3.0,
9.83,43.0,27.0,20.0,,3.0,
9.87,43.0,27.0,20.0,,3.0,
9.9,43.0,27.0,20.0,,3.0,
9.93,43.0,,20.0,,3.0,
9.97,43.0,,20.0,,3.0,
