frame,leading,right_leading,left_leading,following,right_following,left_following
7.17,,,26.0,48.0,,8.0
7.2,,,26.0,48.0,,
7.23,,,26.0,48.0,,8.0
7.27,,,26.0,48.0,,8.0
7.3,,,26.0,,,
7.33,,,54.0,48.0,,
7.37,,,26.0,48.0,,8.0
7.4,,,26.0,48.0,,8.0
7.43,,,26.0,48.0,,8.0
7.47,,,26.0,48.0,,8.0
7.5,,,26.0,48.0,,8.0
7.53,,,26.0,48.0,,8.0
7.57,,,26.0,48.0,,8.0
7.6,,,26.0,48.0,,8.0
7.67,,,54.0,48.0,,8.0
7.7,,,54.0,48.0,,8.0
7.73,,,54.0,48.0,,8.0
7.77,,,26.0,48.0,,8.0
7.8,,,54.0,48.0,,8.0
7.83,,,54.0,48.0,,8.0
7.87,,,26.0,48.0,,8.0
7.9,,,26.0,48.0,,8.0
7.93,,,26.0,48.0,,8.0
7.97,,,26.0,48.0,,8.0
8.0,,,26.0,48.0,,8.0
8.03,,,26.0,48.0,,8.0
8.07,,,26.0,48.0,,8.0
8.1,,,26.0,48.0,,8.0
8.13,,,26.0,48.0,,8.0
8.17,,,26.0,48.0,,8.0
8.2,,,26.0,48.0,,8.0
8.23,,,26.0,48.0,,8.0
8.27,,,26.0,48.0,,8.0
8.3,,,26.0,48.0,,8.0
8.33,,,26.0,48.0,,8.0
8.37,,,26.0,,,8.0
8.4,,,26.0,,,8.0
8.43,,,26.0,48.0,,8.0
8.47,,,26.0,,,8.0
8.5,,,26.0,,,8.0
8.53,,,26.0,,,8.0
8.57,,,26.0,,,8.0
8.6,,,26.0,,,8.0
8.63,,,26.0,,,8.0
8.67,,,26.0,,,8.0
8.7,,,26.0,,,8.0
8.73,,,26.0,,,8.0
8.77,,,26.0,,,8.0
8.8,,,26.0,,,8.0
8.83,,,26.0,,,8.0
8.87,,,26.0,,,8.0
8.9,,,26.0,,,8.0
8.93,,,26.0,48.0,,8.0
8.97,,,26.0,,,8.0
9.0,,,26.0,,,8.0
9.03,,,26.0,,,8.0
9.07,,,26.0,48.0,,8.0
9.1,,,26.0,48.0,,8.0
9.13,,,26.0,48.0,,8.0
9.17,,,26.0,48.0,,8.0
9.2,,,26.0,48.0,,8.0
9.23,,,26.0,48.0,,8.0
9.27,,,26.0,48.0,,8.0
9.3,,,26.0,48.0,,8.0
9.33,,,26.0,48.0,,8.0
9.37,,,26.0,48.0,,8.0
9.4,,,26.0,48.0,,8.0
9.43,,,26.0,48.0,,8.0
9.47,,,26.0,48.0,,8.0
9.5,,,26.0,48.0,,8.0
9.53,,,26.0,48.0,,8.0
9.57,,,73.0,,,8.0
9.6,,,73.0,48.0,,8.0
9.63,,,26.0,48.0,,8.0
9.67,,,73.0,48.0,,8.0
9.7,,,73.0,48.0,,8.0
9.73,,,73.0,,,8.0
9.77,,,26.0,,,8.0
9.8,,,26.0,,,8.0
9.83,,,26.0,,,8.0
9.87,,,26.0,,,8.0
9.9,,,,48.0,,8.0
9.93,,,,48.0,,8.0
9.97,,,,,,8.0
